14.00	98536.12	  903.39	  560.49	  335.15	 1463.88	0.248	1.990	1.974	   23.38	100		  246.17	   88.98	 1059.61	  404.27	0.735	0.265
15.00	98108.55	 1158.11	  733.34	  427.57	 1891.45	0.248	1.984	1.964	   38.48	100		  313.84	  113.73	 1373.45	  518.00	0.734	0.266
16.00	97562.91	 1477.61	  959.48	  545.64	 2437.09	0.246	1.978	1.952	   61.80	100		  401.16	  144.48	 1774.61	  662.48	0.735	0.265
17.00	96869.72	 1881.88	 1248.40	  693.19	 3130.28	0.243	1.971	1.939	  100.29	100		  511.57	  181.62	 2286.18	  844.10	0.738	0.262
18.00	95989.46	 2391.75	 1618.79	  880.26	 4010.54	0.241	1.962	1.922	  160.69	100		  645.98	  234.28	 2932.16	 1078.38	0.734	0.266
19.00	94880.28	 3026.99	 2092.73	 1109.18	 5119.72	0.238	1.952	1.902	  253.86	100		  817.38	  291.80	 3749.54	 1370.18	0.737	0.263
20.00	93497.32	 3799.46	 2703.22	 1382.96	 6502.68	0.231	1.938	1.877	  399.66	100		 1017.90	  365.06	 4767.44	 1735.24	0.736	0.264
21.00	91771.59	 4755.80	 3472.61	 1725.73	 8228.41	0.226	1.919	1.844	  617.67	100		 1273.21	  452.52	 6040.65	 2187.76	0.738	0.262
22.00	89645.14	 5899.50	 4455.36	 2126.45	10354.86	0.220	1.897	1.807	  937.97	100		 1567.36	  559.09	 7608.01	 2746.85	0.737	0.263
23.00	87069.29	 7229.41	 5701.30	 2575.85	12930.71	0.209	1.871	1.764	 1392.33	100		 1903.52	  672.33	 9511.53	 3419.18	0.739	0.261
24.00	83984.07	 8759.84	 7256.09	 3085.22	16015.93	0.198	1.840	1.714	 2024.77	100		 2289.38	  795.84	11800.91	 4215.02	0.742	0.258
25.00	80349.51	10451.16	 9199.33	 3634.56	19650.49	0.184	1.803	1.658	 2865.19	100		 2699.70	  934.86	14500.61	 5149.88	0.743	0.257
26.00	76168.36	12221.31	11610.33	 4181.15	23831.64	0.167	1.761	1.596	 3912.42	100		 3114.20	 1066.95	17614.81	 6216.83	0.745	0.255
27.00	71475.69	13963.58	14560.73	 4692.67	28524.31	0.145	1.714	1.533	 5167.79	100		 3508.19	 1184.48	21123.00	 7401.31	0.748	0.252
28.00	66363.81	15542.12	18094.07	 5111.88	33636.19	0.120	1.663	1.467	 6578.63	100		 3835.30	 1276.58	24958.30	 8677.89	0.750	0.250
29.00	60996.52	16751.78	22251.70	 5367.29	39003.48	0.091	1.609	1.402	 8053.92	100		 4040.52	 1326.77	28998.82	10004.66	0.753	0.247
30.00	55477.85	17526.04	26996.11	 5518.67	44522.15	0.060	1.554	1.340	 9508.01	100		 4173.74	 1344.93	33172.56	11349.59	0.756	0.244
31.00	50131.25	17544.46	32324.29	 5346.60	49868.75	0.023	1.501	1.284	10812.10	100		 4066.51	 1280.09	37239.07	12629.68	0.761	0.239
